#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
260	NFSe/infNFSe/DPS/infDPS/serv	obra	 Se o código de tributação nacional pertencer a um dos subitens, 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01 da lista de serviços, então o grupo de informações de obra é obrigatório.		Obrig.	Rej.	E0370	O grupo de informações de obra é obrigatório quando o código de tributação nacional pertencer a um dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01 da lista de serviços.	1	V	X	V	X	-
261			Se o código de tributação nacional não pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01 da lista de serviços, então o grupo de informações de obra não é permitido. *Exceção: O grupo de informações de obra pode ser informado se o código de tributação nacional for o 99.01.01.		Obrig.	Rej.	E0372	O grupo de informações de obra não é permitido quando o código de tributação nacional não pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01  da lista de serviços, com exceção do código 99.01.01.	1	V	X	V	X	-
262	NFSe/infNFSe/DPS/infDPS/serv/obra/	inscImobFisc	-		-	-	-	-	-	-	-	-	-	-
263	NFSe/infNFSe/DPS/infDPS/serv/obra/	cObra	-		-	-	-	-	-	-	-	-	-	-
264	NFSe/infNFSe/DPS/infDPS/serv/obra/	end	-		-	-	-	-	-	-	-	-	-	-
265	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	CEP	O CEP a ser informa para endereço da obra deve pertencer ao município que foi informado como local da prestação do serviço.		Obrig.	Rej.	E0380	Informe um CEP correspondente ao município do local da prestação do serviço informado nesta DPS para indicar corretamente o endereço da obra.	1	V	X	V	X	-
266			Se o pais da prestação do serviço de obra foi informado (cPaisPrestacao foi informado), então o CEP não pode ser informado.		Obrig.	Rej.	E0382	O CEP não deve ser informado quando o endereço da obra ocorrer no exterior do país.	1	V	X	V	X	-
267	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	endExt	Se o pais local da prestação do serviço de obra foi informado (cPaisPrestacao foi informado), então o grupo de informações de endereço no exterior deve ser informado.		Obrig.	Rej.	E0384	O grupo de informações de endereço da atividade de obra ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.	1	V	X	V	X	-
268			Se o município local da prestação do serviço de obra foi informado (cMunPrestacao foi informado), então o grupo de informações de endereço no exterior não pode ser informado.		Obrig.	Rej.	E0386	O grupo de informações de endereço da atividade de obra ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.	1	V	X	V	X	-
269	NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/	cEndPost	-		-	-	-		-	-	-	-	-	-
270	NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/	xCidade	-		-	-	-		-	-	-	-	-	-
271	NFSe/infNFSe/DPS/infDPS/serv/obra/end/endExt/	xEstProvReg	-		-	-	-		-	-	-	-	-	-
272	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	xLgr	-		-	-	-		-	-	-	-	-	-
273	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	nro	-		-	-	-		-	-	-	-	-	-
274	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	xCpl	-		-	-	-		-	-	-	-	-	-
275	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	xBairro	-		-	-	-		-	-	-	-	-	-
276	NFSe/infNFSe/DPS/infDPS/serv/	atvEvento	Se o código de tributação nacional pertencer ao item 12 da lista de serviços, então o grupo de informações de Atividade/Evento é obrigatório.		Obrig.	Rej.	E0390	O grupo de informações de Atividade/Evento é obrigatório quando o código de tributação nacional pertencer ao item 12 da lista de serviços.	1	V	X	V	X	-
277			Se o código de tributação nacional não pertencer ao item 12 da lista de serviços, então o grupo de informações de Atividade/Evento não é permitido. *Exceção: O grupo de informações de Atividade/Evento pode ser informado se o código de tributação nacional for o 99.01.01.		Obrig.	Rej.	E0392	O grupo de informações de Atividade/Evento não é permitido quando o código de tributação nacional não pertencer ao item 12 da lista de serviços, com exceção do código 99.01.01.	1	V	X	V	X	-
278	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	xNome	-		-	-	-	-	-	-	-	-	-	-
279	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	dtIni	-		-	-	-	-	-	-	-	-	-	-
280	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	dtFim	-		-	-	-	-	-	-	-	-	-	-
281	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	idAtvEvt	-		-	-	-	-	-	-	-	-	-	-
282	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/	end	-		-	-	-	-	-	-	-	-	-	-
283	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	CEP	Se o município local da prestação da atividade de evento foi informado (cMunPrestacao foi informado), então o CEP deve ser informado e pertencer a este município.		Obrig.	Rej.	E0398	Informe um CEP correspondente ao município do local da prestação do serviço informado nesta DPS para indicar corretamente o endereço da atividade ou evento.	1	V	X	V	X	-
284			Se o pais local da prestação da atividade de evento foi informado (cPaisPrestacao foi informado), então o CEP não deve ser informado.		Obrig.	Rej.	E0400	O CEP não deve ser informado quando o endereço da atividade de evento ocorrer no exterior do país.	1	V	X	V	X	-
285	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	endExt	Se o pais da prestação da atividade de evento foi informado (cPaisPrestacao foi informado), então o grupo de informações do endereço no exterior deve ser informado.		Obrig.	Rej.	E0402	O grupo de informações de endereço da atividade de evento ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.	1	V	X	V	X	-
286			Se o município local da prestação da atividade de evento foi informado (cMunPrestacao foi informado), então o grupo de informações  do endereço no exterior não deve ser informado.		Obrig.	Rej.	E0404	O grupo de informações de endereço da atividade de evento ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.	1	V	X	V	X	-
287	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/	cEndPost	-		-	-	-	-	-	-	-	-	-	-
288	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/	xCidade	-		-	-	-	-	-	-	-	-	-	-
289	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/endExt/	xEstProvReg	-		-	-	-	-	-	-	-	-	-	-
290	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	xLgr	-		-	-	-	-	-	-	-	-	-	-
291	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	nro	-		-	-	-	-	-	-	-	-	-	-
292	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	xCpl	-		-	-	-	-	-	-	-	-	-	-
293	NFSe/infNFSe/DPS/infDPS/serv/atvEvento/end/	xBairro	-		-	-	-	-	-	-	-	-	-	-
NFSe/infNFSe/DPS/infDPS/serv	infoCompl	G	-	0-1	-	Grupo de informações complementares disponível para todos os serviços prestados
NFSe/infNFSe/DPS/infDPS/serv/infoCompl/	idDocTec	E	C	0-1	1-40	Identificador de Documento de Responsabilidade Técnica: ART, RRT, DRT, Outros.
NFSe/infNFSe/DPS/infDPS/serv/infoCompl/	docRef	E	C	0-1	255	Chave da nota, número identificador da nota, número do contrato ou outro identificador de documento emitido pelo prestador de serviços, que subsidia a emissão dessa nota pelo tomador do serviço ou intermediário (preenchimento obrigatório caso a nota esteja sendo emitida pelo Tomador ou intermediário do serviço).
NFSe/infNFSe/DPS/infDPS/serv/infoCompl/	xInfComp	E	C	0-1	2000	Campo livre para preenchimento pelo contribuinte.
